sku,product_name,slug,role,file_name,folder,url,file_type,width,height,file_size_bytes,file_id,status
resoflex-ladies-2piece,ResoFlex Ladies 2-Piece Ribbed Activewear Set,resoflex-ladies-2piece,gallery_02,gallery-02.png,resoflex-ladies-2piece,https://ik.imagekit.io/resofit808/assets/products/resoflex-ladies-2piece/gallery-02.png,PNG,469,384,208848,,verified
resoflex-ladies-2piece,ResoFlex Ladies 2-Piece Ribbed Activewear Set,resoflex-ladies-2piece,gallery_03,gallery-03.png,resoflex-ladies-2piece,https://ik.imagekit.io/resofit808/assets/products/resoflex-ladies-2piece/gallery-03.png,PNG,469,384,279396,,verified
resoflex-ladies-2piece,ResoFlex Ladies 2-Piece Ribbed Activewear Set,resoflex-ladies-2piece,lifestyle,lifestyle.png,resoflex-ladies-2piece,https://ik.imagekit.io/resofit808/assets/products/resoflex-ladies-2piece/lifestyle.png,PNG,469,384,321701,,verified
resoflex-ladies-2piece,ResoFlex Ladies 2-Piece Ribbed Activewear Set,resoflex-ladies-2piece,detail,detail.png,resoflex-ladies-2piece,https://ik.imagekit.io/resofit808/assets/products/resoflex-ladies-2piece/detail.png,PNG,469,384,360515,,verified
RF-MEN-003,ResoFlex Men Heavyweight Sleeveless Gym Hoodie,rf-men-003,hero,hero.png,resoflex-men-hoodie,https://ik.imagekit.io/resofit808/assets/products/resoflex-men-hoodie/hero.png,PNG,469,384,257625,,verified
RF-MEN-003,ResoFlex Men Heavyweight Sleeveless Gym Hoodie,rf-men-003,gallery_01,gallery-01.png,resoflex-men-hoodie,https://ik.imagekit.io/resofit808/assets/products/resoflex-men-hoodie/gallery-01.png,PNG,469,384,203900,,verified
RF-MEN-003,ResoFlex Men Heavyweight Sleeveless Gym Hoodie,rf-men-003,gallery_02,gallery-02.png,resoflex-men-hoodie,https://ik.imagekit.io/resofit808/assets/products/resoflex-men-hoodie/gallery-02.png,PNG,469,384,256833,,verified
RF-MEN-003,ResoFlex Men Heavyweight Sleeveless Gym Hoodie,rf-men-003,gallery_03,gallery-03.png,resoflex-men-hoodie,https://ik.imagekit.io/resofit808/assets/products/resoflex-men-hoodie/gallery-03.png,PNG,469,384,286812,,verified
RF-MEN-003,ResoFlex Men Heavyweight Sleeveless Gym Hoodie,rf-men-003,lifestyle,lifestyle.png,resoflex-men-hoodie,https://ik.imagekit.io/resofit808/assets/products/resoflex-men-hoodie/lifestyle.png,PNG,469,384,313384,,verified
RF-MEN-003,ResoFlex Men Heavyweight Sleeveless Gym Hoodie,rf-men-003,detail,detail.png,resoflex-men-hoodie,https://ik.imagekit.io/resofit808/assets/products/resoflex-men-hoodie/detail.png,PNG,469,384,303731,,verified
RF-MEN-001,ResoFlex Men Performance Training Shorts,rf-men-001,hero,hero.png,resoflex-men-shorts,https://ik.imagekit.io/resofit808/assets/products/resoflex-men-shorts/hero.png,PNG,469,384,269073,,verified
RF-MEN-001,ResoFlex Men Performance Training Shorts,rf-men-001,gallery_01,gallery-01.png,resoflex-men-shorts,https://ik.imagekit.io/resofit808/assets/products/resoflex-men-shorts/gallery-01.png,PNG,469,384,202561,,verified
